City Name,City ID,Latitude,Temp(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
Pinotepa Nacional,3516926,16.32,85.69,68,94,7.43
Saint George,5546220,37.1,102.76,14,1,6.93
College,5859699,64.86,57.04,63,90,8.05
Khatanga,2022572,71.97,54.72,62,0,3.31
Nanortalik,3421765,60.14,47.3,93,100,9.17
Yellowknife,6185377,62.46,72.9,43,40,10.29
Rikitea,4030556,-23.12,72.25,76,95,18.43
New Norfolk,2155415,-42.78,38.44,92,100,2.68
Katobu,1640972,-4.94,72.66,86,85,2.75
Butaritari,2110227,3.07,80.28,85,100,10.45
